DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7912447;1;1;1;1352.6886754;2
7912447;2;1;2;1352.6886754;3
7912448;1;1;1;184.27619027;3
7912448;2;1;2;184.27619027;4
7912448;3;1;3;184.27619027;5
7912448;4;1;4;184.27619027;6
7912448;1;1;1;184.27619027;3
7912448;2;1;2;184.27619027;4
7912448;3;1;3;184.27619027;5
7912448;4;1;4;184.27619027;6
7912484;1;1;1;338.05119907;2
7912484;2;1;2;338.05119907;3
7912484;1;1;1;338.05119907;2
7912484;2;1;2;338.05119907;3
7912512;1;1;1;192.73141396;5
7912512;2;1;2;192.73141396;6
7912512;1;1;1;192.73141396;5
7912512;2;1;2;192.73141396;6
7912531;1;1;1;228.00108312;2
7912531;1;1;1;228.00108312;2
7912547;1;1;1;61.326884226;3
7912547;2;1;2;61.326884226;4
7912547;3;1;3;61.326884226;5
7912547;1;1;1;61.326884226;3
7912547;2;1;2;61.326884226;4
7912547;3;1;3;61.326884226;5
7912556;1;1;1;42.620821046;3
7912556;1;1;1;42.620821046;3
7912564;1;1;1;120.14576744;3
7912564;1;1;1;120.14576744;3
7912574;1;1;1;73.576909698;2
7912574;2;1;2;73.576909698;3
7912574;1;1;1;73.576909698;2
7912574;2;1;2;73.576909698;3
7912589;1;1;1;216.9455919;3
7912589;1;1;1;216.9455919;3
7912617;1;1;1;108.25518699;3
7912617;1;1;1;108.25518699;3
7912660;1;1;1;14.438992465;2
7912660;1;1;1;14.438992465;2
7912718;1;1;1;179.47100288;2
